elpd_diff	se_diff	Abs_LowerBound	T_stat	Phenotype	SGB	Covariates	k_good	k_ok	k_bad	k_verybad	phylo_mean	phylo_median	phylo_sd	phylo_mad	phylo_q5	phylo_q95	phylo_rhat	phylo_ess_bulk	phylo_ess_tail	Continent	P_value	P_bonferroni	FDR	Percentage_badk	Cutoff
-0.0470573902051434	0.339555995160417	-0.6320546001156906	-0.1385850666041458	schizophrenia	t__SGB14546_group	Age+Country	1323	8	0	0	0.273986542851	0.237222	0.197323271748275	0.1986913803	0.023528705	0.6420913999999999	0.9999695294014956	2394.3939743759247	2401.457085418358	Asia	0.8897780445519321	2951.3937737787587	0.9576847802148308	0	FALSE
-0.175249173220518	1.27651027021309	-2.377771367205662	-0.1372877111214024	Age	t__SGB15154	Country	217	2	0	0	3.1394406095175	2.894125	2.0792738155402826	2.15147499	0.3177921	7.0001979999999975	1.0010480275205682	999.758995999624	2070.059301933703	Asia	0.8908033835660758	2954.7948232886733	0.9577941080352265	0	FALSE
-0.0845119464394983	0.635928811113006	-1.1873456757865135	-0.13289529419430618	Age	t__SGB9274	Country	26	1	1	0	4.12427834956	3.509935	3.1367057338465	3.304077882	0.27499695	10.021394999999997	1.0039489917748818	989.0567999262794	1627.5679007764063	Asia	0.8942761885827022	2966.3141175288233	0.9593512669886234	3.571428571428571	FALSE
-0.102347976913844	0.773498784819982	-1.44464959272612	-0.1323182129337975	BMI	t__SGB1680	Age+Country	193	0	0	0	0.911662889904	0.826784	0.6193572950222338	0.6810041406	0.072936115	2.0293849999999987	1.0062879761188652	541.9883085887226	743.2105273733913	Asia	0.8947326021971129	2967.8280414878236	0.9594698018471863	0	FALSE
-0.197465370264775	1.5061755441079001	-2.814885717951025	-0.13110382188666642	Age	t__SGB2296	Country	116	0	0	0	5.1847492476925	5.03444	3.046581419047809	3.190243854	0.5847885500000001	10.562119999999991	1.0062534487501114	1077.68978094059	1556.6028761475548	Asia	0.8956931778328081	2971.0142708714243	0.9594698018471863	0	FALSE
-0.14331566636525	1.10974192251759	-2.07616817866993	-0.12914323903355862	BMI	t__SGB6783_group	Age+Country	293	0	0	0	0.8944453264434	0.7970835000000001	0.6177541285241511	0.6269781966	0.07960842	2.0504035000000003	1.010602929266413	950.5273386447304	1683.8831227366345	Asia	0.8972443086530637	2976.1593718022123	0.9603612041956153	0	FALSE
-0.112337117078605	0.88715396951953	-1.661970821960455	-0.12662640413979684	hsCRP	t__SGB14546_group	Age	31	0	0	1	5.8750234350525	4.53238	4.996717826673835	4.314936801	0.37930105	15.710859999999998	1.005304390047145	1179.6727729351946	844.6616029045371	Asia	0.8992360976762577	2982.7661359921467	0.9613833758972864	3.125	FALSE
-0.0176758887924162	0.140092420405529	-0.2625089520186418	-0.1261730559101582	T2D	t__SGB6478	Age+Country	311	3	0	0	0.246016241773	0.2076175	0.1852124985210923	0.1800424961999999	0.02239736	0.6033655	1.0006797539587644	2641.2848480577554	2212.5804213011647	Asia	0.899594939160201	2983.9564131943866	0.9613833758972864	0	FALSE
-0.0401271283840705	0.324316540268166	-0.6085059521522614	-0.1237282821002308	CRC	t__SGB4198_group	Age+Country	569	18	1	0	0.24933302682175	0.209795	0.1896132308734824	0.18543789999	0.02022012	0.6026489999999997	1.0004562723802464	2041.4716663912045	2156.605845257748	Asia	0.9015304178382648	2990.3763959695243	0.9613833758972864	0.17006802721088435	FALSE
-0.0829113853757253	0.676142162298021	-1.2693729392203168	-0.12262419059023376	Age	t__SGB1676	Country	66	2	0	0	5.51422766084	4.881325	4.010119698704117	4.267953207000001	0.4111698	13.354514999999996	1.0083622308711826	392.0899623127599	418.0215379599276	Asia	0.9024046976871396	2993.2763822282423	0.9613833758972864	0	FALSE
